date,sites_reporting,network_median_pm25,network_mean_pm25,max_station,max_pm25,stations_above_rolling_p90
2026-07-06 00:00:00+00:00,7,2.561916666666667,3.910992753623188,Port Talbot Margam,7.708333333333333,0
2026-07-07 00:00:00+00:00,7,5.8609583333333335,6.568279761904762,Port Talbot Margam,9.916666666666666,0
2026-07-08 00:00:00+00:00,7,12.208333333333334,11.909092814793903,Newport,15.762625,4
2026-07-09 00:00:00+00:00,7,10.126833333333334,10.173059523809524,Port Talbot Margam,16.333333333333332,3
2026-07-10 00:00:00+00:00,7,10.731250000000001,11.090255952380954,Swansea Roadside,14.75,2
2026-07-11 00:00:00+00:00,7,9.041666666666666,9.9650716873706,Swansea Roadside,15.291666666666666,1
2026-07-12 00:00:00+00:00,7,7.086956521739131,7.162416407867496,Port Talbot Margam,10.166666666666666,0
2026-07-13 00:00:00+00:00,6,7.177130434782608,7.490960144927537,Swansea Roadside,10.625,0
2026-07-14 00:00:00+00:00,6,11.183712121212121,11.530946338383837,Wrexham,18.00916666666667,2
2026-07-15 00:00:00+00:00,6,11.701812499999999,11.641979166666667,Port Talbot Margam,14.25,3
2026-07-16 00:00:00+00:00,5,13.411916666666668,14.071316666666666,Swansea Roadside,17.375,4
2026-07-17 00:00:00+00:00,6,14.840395833333334,15.419020833333333,Port Talbot Margam,18.083333333333332,6
2026-07-18 00:00:00+00:00,7,16.375,16.83980952380952,Port Talbot Margam,20.583333333333332,7
2026-07-19 00:00:00+00:00,7,8.291666666666666,9.481488095238095,Swansea Roadside,14.791666666666666,2
2026-07-20 00:00:00+00:00,6,7.247562500000001,7.995650584795321,Port Talbot Margam,12.875,1
2026-07-21 00:00:00+00:00,6,10.229166666666668,10.625655753968255,Newport,16.331625,2
2026-07-22 00:00:00+00:00,5,12.208333333333334,12.532508333333334,Newport,22.695666666666668,3
2026-07-23 00:00:00+00:00,5,10.083333333333334,10.07754347826087,Port Talbot Margam,14.565217391304348,2
2026-07-24 00:00:00+00:00,4,7.081416666666668,6.757864583333334,Chepstow A48,8.125,0
2026-07-25 00:00:00+00:00,5,6.9900416666666665,7.652424999999999,Chepstow A48,10.208333333333334,0
2026-07-26 00:00:00+00:00,5,6.469041666666667,5.208333333333334,Swansea Roadside,8.125,0
2026-07-27 00:00:00+00:00,5,4.648125,4.521182575757576,Chepstow A48,6.545454545454546,0
2026-07-28 00:00:00+00:00,7,5.904761904761905,5.789656462585034,Swansea Roadside,7.875,0
2026-07-29 00:00:00+00:00,7,5.198625,6.6873294513457555,Swansea Roadside,12.304347826086957,0
2026-07-30 00:00:00+00:00,7,3.875,4.493136904761904,Port Talbot Margam,7.583333333333333,0
2026-07-31 00:00:00+00:00,7,5.333333333333333,5.422220238095238,Swansea Roadside,8.666666666666666,0
2026-08-01 00:00:00+00:00,6,5.6911249999999995,6.328145833333333,Newport,11.006333333333332,0
2026-08-02 00:00:00+00:00,6,5.0821875,5.816715277777778,Swansea Roadside,8.791666666666666,0
2026-08-03 00:00:00+00:00,6,7.073499999999999,8.544555555555556,Swansea Roadside,12.916666666666666,0
2026-08-04 00:00:00+00:00,7,3.8128333333333333,4.540303571428571,Swansea Roadside,8.291666666666666,0
2026-08-05 00:00:00+00:00,7,4.4891250000000005,5.668902691511387,Port Talbot Margam,9.695652173913043,0
2026-08-06 00:00:00+00:00,7,3.6666666666666665,4.12322619047619,Port Talbot Margam,6.416666666666667,0
2026-08-07 00:00:00+00:00,7,3.5416666666666665,3.9919948240165626,Swansea Roadside,6.5,0
2026-08-08 00:00:00+00:00,7,4.351458333333333,5.766898809523809,Swansea Roadside,10.416666666666666,0
2026-08-09 00:00:00+00:00,7,5.98275,6.747333333333333,Swansea Roadside,11.166666666666666,0
2026-08-10 00:00:00+00:00,7,7.875,6.425986542443064,Port Talbot Margam,10.166666666666666,0
2026-08-11 00:00:00+00:00,6,6.3791279761904764,7.974858082706767,Port Talbot Margam,13.791666666666666,2
