station_code,station_name,site_type,latitude,longitude,date,pm25,pm25_hours,pm10,pm10_hours,no2,no2_hours,o3,o3_hours
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-08-31 00:00:00+00:00,6.803375,24,14.110416666666666,24,0.7553116666666666,24,57.00287625000001,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-08-31 00:00:00+00:00,7.583333333333333,24,25.523833333333332,24,2.316875,24,58.423426249999984,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-08-31 00:00:00+00:00,7.708333333333333,24,21.578458333333334,24,2.71997,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-08-31 00:00:00+00:00,4.857458333333333,24,10.369791666666666,24,5.20780625,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-09-01 00:00:00+00:00,5.916666666666667,24,13.969708333333335,24,5.797934583333333,24,58.43382,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-09-01 00:00:00+00:00,6.75,24,13.889166666666668,24,13.569343333333334,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-09-01 00:00:00+00:00,5.237916666666666,24,11.815624999999999,24,4.094426250000001,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-09-01 00:00:00+00:00,4.859541666666667,24,10.176041666666666,24,1.0336029166666667,24,54.30937333333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-09-01 00:00:00+00:00,5.916666666666667,24,18.317458333333335,24,2.980798333333333,24,60.187680416666666,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-09-01 00:00:00+00:00,6.541666666666667,24,13.245041666666667,24,5.382983333333333,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-09-01 00:00:00+00:00,2.9382916666666667,24,5.73125,24,7.146146666666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-09-02 00:00:00+00:00,5.0,24,9.29975,24,11.752016666666668,24,47.47063624999999,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-09-02 00:00:00+00:00,4.5,24,10.426875,24,22.964490833333333,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-09-02 00:00:00+00:00,3.577083333333333,24,7.876041666666667,24,12.659413333333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-09-02 00:00:00+00:00,2.4754583333333335,24,5.783333333333334,24,2.313042916666667,24,50.36994416666666,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2025-09-02 00:00:00+00:00,2.7083333333333335,24,8.856833333333332,24,6.268812083333334,24,51.53895291666666,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2025-09-02 00:00:00+00:00,5.208333333333333,24,8.172458333333333,24,14.293943749999999,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2025-09-02 00:00:00+00:00,3.408,24,7.248958333333333,24,12.829057916666669,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2025-09-03 00:00:00+00:00,3.5833333333333335,24,8.107608695652173,23,9.043389166666666,24,50.13572791666667,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2025-09-03 00:00:00+00:00,3.9166666666666665,24,8.373791666666667,24,14.974135833333333,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2025-09-03 00:00:00+00:00,2.3978333333333333,24,6.4593750000000005,24,6.61879875,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2025-09-03 00:00:00+00:00,1.891875,24,5.145125,24,1.2769745833333332,24,49.78509291666666,24
