station_code,station_name,site_type,latitude,longitude,date,pm25,pm25_hours,pm25_screened,pm25_screened_hours,pm10,pm10_hours,no2,no2_hours,o3,o3_hours
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-16 00:00:00+00:00,4.833333333333333,24,4.833333333333333,24,6.481583333333333,24,8.481646666666666,24,43.551995833333336,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-16 00:00:00+00:00,4.833333333333333,24,4.833333333333333,24,7.447791666666667,24,15.320377916666667,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-16 00:00:00+00:00,3.4955,24,3.4955,24,7.542708333333334,24,3.930593333333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-16 00:00:00+00:00,2.5247083333333333,24,2.5247083333333333,24,3.9125,24,1.7163891666666666,24,39.04504041666666,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-16 00:00:00+00:00,6.875,24,6.875,24,13.446333333333333,24,5.95514875,24,44.3530475,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-16 00:00:00+00:00,5.666666666666667,24,5.666666666666667,24,7.930833333333333,24,6.209522499999999,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-16 00:00:00+00:00,2.5766666666666667,24,2.5766666666666667,24,5.0718749999999995,24,6.5732025,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-17 00:00:00+00:00,3.625,24,3.625,24,5.555666666666667,24,10.729622083333334,24,30.834259166666666,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-17 00:00:00+00:00,3.7083333333333335,24,3.7083333333333335,24,6.11925,24,12.91096125,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-17 00:00:00+00:00,2.9786249999999996,24,2.9786249999999996,24,5.204166666666667,24,5.331439166666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-17 00:00:00+00:00,2.8519583333333336,24,2.8519583333333336,24,7.679166666666666,24,1.28898625,24,43.920646250000004,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-17 00:00:00+00:00,6.416666666666667,24,6.416666666666667,24,10.145125,24,8.024035833333334,24,38.1324225,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-17 00:00:00+00:00,6.5,24,6.5,24,6.481583333333333,24,5.736391666666666,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-17 00:00:00+00:00,2.31325,24,2.31325,24,4.309375,24,4.031410416666667,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-18 00:00:00+00:00,2.9583333333333335,24,2.9583333333333335,24,5.716666666666666,24,9.683717916666668,24,35.78609041666667,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-18 00:00:00+00:00,3.25,24,3.25,24,6.320458333333334,24,14.238014166666666,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-18 00:00:00+00:00,3.276375,24,3.276375,24,7.4281250000000005,24,4.823365833333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-18 00:00:00+00:00,2.551083333333333,24,2.551083333333333,24,6.716666666666666,24,1.1311654166666667,24,41.96375208333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-18 00:00:00+00:00,5.5,24,5.5,24,9.259375,24,6.874738333333333,24,37.69932750000001,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-18 00:00:00+00:00,5.666666666666667,24,5.666666666666667,24,8.736083333333333,24,9.453680416666666,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-18 00:00:00+00:00,2.5157083333333334,24,2.5157083333333334,24,5.385416666666667,24,6.6147012499999995,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-19 00:00:00+00:00,3.4166666666666665,24,3.4166666666666665,24,5.958125,24,10.004176666666668,24,35.30518250000001,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-19 00:00:00+00:00,2.4166666666666665,24,2.4166666666666665,24,5.273875,24,14.277704166666666,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-19 00:00:00+00:00,3.2921666666666667,24,3.2921666666666667,24,7.860416666666667,24,4.176547083333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-19 00:00:00+00:00,1.8062500000000001,24,1.8062500000000001,24,7.4125000000000005,24,1.6171114285714285,21,39.02494458333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-19 00:00:00+00:00,5.666666666666667,24,5.666666666666667,24,10.587875,24,6.84571875,24,38.4303925,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-19 00:00:00+00:00,6.333333333333333,24,6.333333333333333,24,7.890666666666667,24,8.542440416666667,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-19 00:00:00+00:00,1.328625,24,1.328625,24,4.171875,24,6.360516666666666,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-20 00:00:00+00:00,4.208333333333333,24,4.208333333333333,24,5.917916666666667,24,10.89669,24,39.93340416666667,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-20 00:00:00+00:00,3.4583333333333335,24,3.4583333333333335,24,4.6297500000000005,24,15.283045833333333,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-20 00:00:00+00:00,2.563875,24,2.563875,24,5.026041666666667,24,5.4547349999999994,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-20 00:00:00+00:00,1.7275833333333335,24,1.7275833333333335,24,5.351041666666667,24,,0,47.85106583333334,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-20 00:00:00+00:00,,12,,12,,12,,12,,12
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-20 00:00:00+00:00,8.083333333333334,24,8.083333333333334,24,8.252958333333334,24,8.69498125,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-20 00:00:00+00:00,2.0450833333333334,24,2.0450833333333334,24,3.834375,24,5.8496275,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-21 00:00:00+00:00,5.791666666666667,24,5.791666666666667,24,9.259375,24,11.425704166666668,24,53.682252500000004,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-21 00:00:00+00:00,4.375,24,4.375,24,6.119291666666666,24,14.331223333333334,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-21 00:00:00+00:00,2.8026666666666666,24,2.8026666666666666,24,6.004166666666666,24,6.866844583333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-21 00:00:00+00:00,2.029375,24,2.029375,24,4.5375000000000005,24,,0,53.26232333333332,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-21 00:00:00+00:00,,0,,0,,0,,0,,0
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-21 00:00:00+00:00,8.291666666666666,24,8.291666666666666,24,10.306083333333333,24,11.956299583333333,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-21 00:00:00+00:00,2.6670833333333337,24,2.6670833333333337,24,4.832291666666667,24,8.464320416666666,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-22 00:00:00+00:00,6.166666666666667,24,6.166666666666667,24,12.761916666666666,24,9.608617826086956,23,73.44107000000001,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-22 00:00:00+00:00,6.375,24,6.375,24,11.674958333333334,24,19.137931666666667,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-22 00:00:00+00:00,6.0612916666666665,24,6.0612916666666665,24,12.317708333333334,24,11.808247083333333,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-22 00:00:00+00:00,5.445166666666666,24,5.445166666666666,24,14.555208333333333,24,,9,74.91774791666667,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-22 00:00:00+00:00,,10,,10,,10,,13,,12
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-22 00:00:00+00:00,13.304347826086957,23,13.304347826086957,23,16.719434782608694,23,20.23441,23,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-22 00:00:00+00:00,3.7883750000000003,24,3.7883750000000003,24,9.125,24,9.18330125,24,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-23 00:00:00+00:00,13.708333333333334,24,13.708333333333334,24,23.22908333333333,24,10.804387391304347,23,90.38580791666669,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-23 00:00:00+00:00,10.583333333333334,24,10.583333333333334,24,20.330416666666668,24,24.27160375,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-23 00:00:00+00:00,12.571833333333332,24,12.571833333333332,24,25.680208333333336,24,10.157732916666667,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-23 00:00:00+00:00,10.639791666666666,24,10.639791666666666,24,19.177083333333332,24,4.3878337499999995,24,92.30736333333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-23 00:00:00+00:00,15.0,23,15.0,23,28.775913043478262,23,13.164758181818183,22,78.6609504347826,23
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-23 00:00:00+00:00,18.875,24,18.875,24,26.288625,24,16.631770416666665,24,,0
WREX,Wrexham,Urban Traffic,53.042282,-3.002829,2026-06-23 00:00:00+00:00,9.285583333333333,24,9.285583333333333,24,16.770833333333332,24,13.439491304347825,23,,0
CARD,Cardiff Centre,Urban Background,51.48178,-3.17625,2026-06-24 00:00:00+00:00,13.782608695652174,23,13.782608695652174,23,25.362666666666666,24,13.319213913043479,23,80.09062875000001,24
CHP,Chepstow A48,Urban Traffic,51.638094,-2.678731,2026-06-24 00:00:00+00:00,11.541666666666666,24,11.541666666666666,24,17.109875,24,20.186295,24,,0
NPT3,Newport,Urban Background,51.601203,-2.977281,2026-06-24 00:00:00+00:00,12.11575,24,12.11575,24,23.046875,24,9.046881666666666,24,,0
PEMB,Narberth,Rural Background,51.782616,-4.69237,2026-06-24 00:00:00+00:00,11.444625,24,11.444625,24,23.05,24,3.4016208333333338,24,84.98425333333333,24
PT4,Port Talbot Margam,Urban Industrial,51.58395,-3.770822,2026-06-24 00:00:00+00:00,20.291666666666668,24,20.291666666666668,24,47.58533333333333,24,14.070032916666667,24,76.67853666666667,24
SWA1,Swansea Roadside,Urban Traffic,51.632696,-3.947374,2026-06-24 00:00:00+00:00,23.666666666666668,24,23.666666666666668,24,30.717125,24,18.995361666666668,24,,0
