latitude,longitude,sst_c,clim_sst,anomaly_c
51.2500,-6.2100,19.0200,16.5600,2.4600
51.2500,-6.1900,19.1000,16.5940,2.5060
51.2500,-6.1700,19.1600,16.6300,2.5300
51.2500,-6.1500,19.1900,16.6640,2.5260
51.2500,-6.1300,19.2100,16.6960,2.5140
51.2500,-6.1100,19.2400,16.7320,2.5080
51.2500,-6.0900,19.2700,16.7540,2.5160
51.2500,-6.0700,19.3100,16.7740,2.5360
51.2500,-6.0500,19.3300,16.8000,2.5300
51.2500,-6.0300,19.3500,16.8200,2.5300
51.2500,-6.0100,19.4200,16.8560,2.5640
51.2500,-5.9900,19.4300,16.8900,2.5400
51.2500,-5.9700,19.4600,16.9160,2.5440
51.2500,-5.9500,19.4800,16.9420,2.5380
51.2500,-5.9300,19.4700,16.9640,2.5060
51.2500,-5.9100,19.4900,16.9660,2.5240
51.2500,-5.8900,19.4800,16.9740,2.5060
51.2500,-5.8700,19.4900,16.9960,2.4940
51.2500,-5.8500,19.4900,17.0260,2.4640
51.2500,-5.8300,19.5100,17.0500,2.4600
51.2500,-5.8100,19.5100,17.0900,2.4200
51.2500,-5.7900,19.5100,17.1280,2.3820
51.2500,-5.7700,19.5300,17.1560,2.3740
51.2500,-5.7500,19.5300,17.1840,2.3460
51.2500,-5.7300,19.5200,17.2140,2.3060
51.2500,-5.7100,19.5200,17.2300,2.2900
51.2500,-5.6900,19.5100,17.2460,2.2640
51.2500,-5.6700,19.5100,17.2540,2.2560
51.2500,-5.6500,19.5000,17.2480,2.2520
51.2500,-5.6300,19.4900,17.2440,2.2460
51.2500,-5.6100,19.5000,17.2380,2.2620
51.2500,-5.5900,19.5300,17.2360,2.2940
51.2500,-5.5700,19.5600,17.2340,2.3260
51.2500,-5.5500,19.5900,17.2560,2.3340
51.2500,-5.5300,19.5500,17.2740,2.2760
51.2500,-5.5100,19.5500,17.2900,2.2600
51.2500,-5.4900,19.4900,17.3020,2.1880
51.2500,-5.4700,19.4600,17.3120,2.1480
51.2500,-5.4500,19.4000,17.3220,2.0780
51.2500,-5.4300,19.3400,17.3240,2.0160
51.2500,-5.4100,19.2900,17.3220,1.9680
51.2500,-5.3900,19.1900,17.3240,1.8660
51.2500,-5.3700,19.1600,17.3140,1.8460
51.2500,-5.3500,19.1700,17.3240,1.8460
51.2500,-5.3300,19.2000,17.3220,1.8780
51.2500,-5.3100,19.2300,17.3220,1.9080
51.2500,-5.2900,19.2600,17.3380,1.9220
51.2500,-5.2700,19.2800,17.3400,1.9400
51.2500,-5.2500,19.2700,17.3400,1.9300
51.2500,-5.2300,19.2200,17.3580,1.8620
51.2500,-5.2100,19.2200,17.3620,1.8580
51.2500,-5.1900,19.2400,17.3700,1.8700
51.2500,-5.1700,19.2200,17.3580,1.8620
51.2500,-5.1500,19.2000,17.3460,1.8540
51.2500,-5.1300,19.1400,17.3520,1.7880
51.2500,-5.1100,19.0600,17.3300,1.7300
51.2500,-5.0900,18.9700,17.3140,1.6560
51.2500,-5.0700,18.8900,17.2880,1.6020
51.2500,-5.0500,18.7900,17.2780,1.5120
51.2500,-5.0300,18.7100,17.2360,1.4740
51.2500,-5.0100,18.6700,17.2160,1.4540
51.2500,-4.9900,18.6700,17.2380,1.4320
51.2500,-4.9700,18.6700,17.2380,1.4320
51.2500,-4.9500,18.6600,17.2440,1.4160
51.2500,-4.9300,18.6300,17.2320,1.3980
51.2500,-4.9100,18.5800,17.2160,1.3640
51.2500,-4.8900,18.5000,17.1840,1.3160
51.2500,-4.8700,18.4000,17.1460,1.2540
51.2500,-4.8500,18.3200,17.1120,1.2080
51.2500,-4.8300,18.2500,17.0480,1.2020
51.2500,-4.8100,18.1900,17.0200,1.1700
51.2500,-4.7900,18.1400,17.0020,1.1380
51.2500,-4.7700,18.1200,16.9840,1.1360
51.2500,-4.7500,18.1000,16.9380,1.1620
51.2500,-4.7300,18.0900,16.9480,1.1420
51.2500,-4.7100,18.0800,16.9420,1.1380
51.2500,-4.6900,18.0900,16.9180,1.1720
51.2500,-4.6700,18.0900,16.9100,1.1800
51.2500,-4.6500,18.1000,16.9100,1.1900
51.2500,-4.6300,18.1100,16.9360,1.1740
51.2500,-4.6100,18.1400,16.9700,1.1700
51.2500,-4.5900,18.1600,16.9940,1.1660
51.2500,-4.5700,18.1900,17.0320,1.1580
51.2500,-4.5500,18.2400,17.0800,1.1600
51.2500,-4.5300,18.3100,17.1380,1.1720
51.2500,-4.5100,18.3700,17.2200,1.1500
51.2500,-4.4900,18.4200,17.2660,1.1540
51.2500,-4.4700,18.4300,17.3040,1.1260
51.2500,-4.4500,18.4800,17.3000,1.1800
51.2500,-4.4300,18.5000,17.2960,1.2040
51.2500,-4.4100,18.5600,17.2960,1.2640
51.2500,-4.3900,18.5900,17.3000,1.2900
51.2500,-4.3700,18.6400,17.3340,1.3060
51.2500,-4.3500,18.7000,17.3560,1.3440
51.2500,-4.3300,18.7500,17.4140,1.3360
51.2500,-4.3100,18.8200,17.4100,1.4100
51.2500,-4.2900,18.8500,17.3940,1.4560
51.2500,-4.2700,18.8900,17.3940,1.4960
51.2500,-4.2500,18.8700,17.4040,1.4660
51.2500,-4.2300,18.9100,17.3900,1.5200
51.2500,-4.2100,18.9800,17.4060,1.5740
51.2500,-4.1900,19.1200,17.4140,1.7060
51.2500,-4.1700,19.2100,17.4000,1.8100
51.2500,-4.1500,19.3000,17.3860,1.9140
51.2500,-4.1300,19.3300,17.3860,1.9440
51.2500,-4.1100,19.3300,17.4160,1.9140
51.2500,-4.0900,19.3100,17.4720,1.8380
51.2500,-4.0700,19.2800,17.5420,1.7380
51.2500,-4.0500,19.2500,17.5700,1.6800
51.2500,-4.0300,19.2000,17.6180,1.5820
51.2500,-4.0100,19.1900,17.6680,1.5220
51.2500,-3.9900,19.1900,17.6900,1.5000
51.2500,-3.9700,19.2100,17.7200,1.4900
51.2500,-3.9500,19.2600,17.7400,1.5200
51.2500,-3.9300,19.2900,17.7600,1.5300
51.2500,-3.9100,19.3500,17.7960,1.5540
51.2500,-3.8900,19.3900,17.8240,1.5660
51.2500,-3.8700,19.4800,17.8720,1.6080
51.2500,-3.8500,19.5600,17.9200,1.6400
51.2500,-3.8300,19.6100,17.9680,1.6420
51.2500,-3.8100,19.6600,18.0160,1.6440
51.2500,-3.7900,19.7100,18.0760,1.6340
51.2500,-3.7700,19.7800,18.1300,1.6500
51.2500,-3.7500,19.8900,18.1860,1.7040
51.2500,-3.7300,20.0000,18.2200,1.7800
51.2500,-3.7100,20.0800,18.2400,1.8400
51.2500,-3.6900,20.1400,18.2580,1.8820
51.2500,-3.6700,20.1900,18.2720,1.9180
51.2500,-3.6500,20.1900,18.2780,1.9120
51.2500,-3.6300,20.1900,18.3140,1.8760
51.2500,-3.6100,20.1700,18.3520,1.8180
51.2500,-3.5900,20.2000,18.4020,1.7980
51.2500,-3.5700,20.1900,18.4660,1.7240
51.2500,-3.5500,20.2200,18.5140,1.7060
51.2500,-3.5300,20.2700,18.5420,1.7280
51.2500,-3.5100,20.3400,18.5560,1.7840
51.2500,-3.4900,20.3800,18.5820,1.7980
51.2500,-3.4700,20.4300,18.6000,1.8300
51.2500,-3.4500,20.4800,18.6340,1.8460
51.2500,-3.4300,20.5600,18.6720,1.8880
51.2500,-3.4100,20.6000,18.7180,1.8820
51.2500,-3.3900,20.6100,18.7660,1.8440
51.2500,-3.3700,20.6200,18.8300,1.7900
51.2500,-3.3500,20.6200,18.8920,1.7280
51.2500,-3.3300,20.6300,18.9560,1.6740
51.2500,-3.3100,20.6500,19.0060,1.6440
51.2500,-3.2900,20.6700,19.0420,1.6280
