date,latitude,longitude,sst_c
1871-11-16T00:00:00+00:00,53.5000,-3.5000,11.2697
1871-11-16T00:00:00+00:00,52.5000,-6.5000,11.7505
1871-11-16T00:00:00+00:00,52.5000,-5.5000,11.6933
1871-11-16T00:00:00+00:00,52.5000,-4.5000,11.6385
1871-11-16T00:00:00+00:00,51.5000,-6.5000,11.8114
1871-11-16T00:00:00+00:00,51.5000,-5.5000,11.8876
1871-11-16T00:00:00+00:00,51.5000,-4.5000,11.8808
1871-11-16T00:00:00+00:00,51.5000,-3.5000,11.9082
1871-12-16T12:00:00+00:00,53.5000,-5.5000,10.0197
1871-12-16T12:00:00+00:00,53.5000,-4.5000,9.8810
1871-12-16T12:00:00+00:00,53.5000,-3.5000,9.6761
1871-12-16T12:00:00+00:00,52.5000,-6.5000,10.4207
1871-12-16T12:00:00+00:00,52.5000,-5.5000,10.2231
1871-12-16T12:00:00+00:00,52.5000,-4.5000,10.1150
1871-12-16T12:00:00+00:00,51.5000,-6.5000,10.5389
1871-12-16T12:00:00+00:00,51.5000,-5.5000,10.5147
1871-12-16T12:00:00+00:00,51.5000,-4.5000,10.4316
1871-12-16T12:00:00+00:00,51.5000,-3.5000,10.4699
1872-01-16T12:00:00+00:00,53.5000,-5.5000,8.8535
1872-01-16T12:00:00+00:00,53.5000,-4.5000,8.6977
1872-01-16T12:00:00+00:00,53.5000,-3.5000,8.4506
1872-01-16T12:00:00+00:00,52.5000,-6.5000,9.4990
1872-01-16T12:00:00+00:00,52.5000,-5.5000,9.1428
1872-01-16T12:00:00+00:00,52.5000,-4.5000,8.9776
1872-01-16T12:00:00+00:00,51.5000,-6.5000,9.6754
1872-01-16T12:00:00+00:00,51.5000,-5.5000,9.5197
1872-01-16T12:00:00+00:00,51.5000,-4.5000,9.3334
1872-01-16T12:00:00+00:00,51.5000,-3.5000,9.3539
1872-02-15T12:00:00+00:00,53.5000,-5.5000,8.0389
1872-02-15T12:00:00+00:00,53.5000,-4.5000,7.8707
1872-02-15T12:00:00+00:00,53.5000,-3.5000,7.5308
1872-02-15T12:00:00+00:00,52.5000,-6.5000,8.8837
1872-02-15T12:00:00+00:00,52.5000,-5.5000,8.4405
1872-02-15T12:00:00+00:00,52.5000,-4.5000,8.2629
1872-02-15T12:00:00+00:00,51.5000,-6.5000,9.1145
1872-02-15T12:00:00+00:00,51.5000,-5.5000,8.8977
1872-02-15T12:00:00+00:00,51.5000,-4.5000,8.6978
1872-02-15T12:00:00+00:00,51.5000,-3.5000,8.7822
1872-03-16T12:00:00+00:00,53.5000,-5.5000,7.8131
1872-03-16T12:00:00+00:00,53.5000,-4.5000,7.6247
1872-03-16T12:00:00+00:00,53.5000,-3.5000,7.2868
1872-03-16T12:00:00+00:00,52.5000,-6.5000,8.6284
1872-03-16T12:00:00+00:00,52.5000,-5.5000,8.1738
1872-03-16T12:00:00+00:00,52.5000,-4.5000,7.9859
1872-03-16T12:00:00+00:00,51.5000,-6.5000,8.8848
1872-03-16T12:00:00+00:00,51.5000,-5.5000,8.6540
1872-03-16T12:00:00+00:00,51.5000,-4.5000,8.4199
1872-03-16T12:00:00+00:00,51.5000,-3.5000,8.4256
1872-04-16T00:00:00+00:00,53.5000,-5.5000,8.3415
1872-04-16T00:00:00+00:00,53.5000,-4.5000,8.2500
1872-04-16T00:00:00+00:00,53.5000,-3.5000,8.1329
1872-04-16T00:00:00+00:00,52.5000,-6.5000,9.0065
1872-04-16T00:00:00+00:00,52.5000,-5.5000,8.6229
1872-04-16T00:00:00+00:00,52.5000,-4.5000,8.4991
1872-04-16T00:00:00+00:00,51.5000,-6.5000,9.2436
1872-04-16T00:00:00+00:00,51.5000,-5.5000,9.0594
1872-04-16T00:00:00+00:00,51.5000,-4.5000,8.8989
1872-04-16T00:00:00+00:00,51.5000,-3.5000,8.9368
1872-05-16T12:00:00+00:00,53.5000,-5.5000,10.0395
1872-05-16T12:00:00+00:00,53.5000,-4.5000,10.0548
1872-05-16T12:00:00+00:00,53.5000,-3.5000,10.0603
1872-05-16T12:00:00+00:00,52.5000,-6.5000,10.7229
1872-05-16T12:00:00+00:00,52.5000,-5.5000,10.3723
1872-05-16T12:00:00+00:00,52.5000,-4.5000,10.3419
1872-05-16T12:00:00+00:00,51.5000,-6.5000,10.9430
1872-05-16T12:00:00+00:00,51.5000,-5.5000,10.8060
1872-05-16T12:00:00+00:00,51.5000,-4.5000,10.7781
1872-05-16T12:00:00+00:00,51.5000,-3.5000,10.9887
1872-06-16T00:00:00+00:00,53.5000,-5.5000,12.2231
1872-06-16T00:00:00+00:00,53.5000,-4.5000,12.2806
1872-06-16T00:00:00+00:00,53.5000,-3.5000,12.3276
1872-06-16T00:00:00+00:00,52.5000,-6.5000,13.0558
1872-06-16T00:00:00+00:00,52.5000,-5.5000,12.6490
1872-06-16T00:00:00+00:00,52.5000,-4.5000,12.6390
1872-06-16T00:00:00+00:00,51.5000,-6.5000,13.3082
1872-06-16T00:00:00+00:00,51.5000,-5.5000,13.1593
1872-06-16T00:00:00+00:00,51.5000,-4.5000,13.1463
1872-06-16T00:00:00+00:00,51.5000,-3.5000,13.3991
1872-07-16T12:00:00+00:00,53.5000,-5.5000,13.9663
1872-07-16T12:00:00+00:00,53.5000,-4.5000,14.0374
1872-07-16T12:00:00+00:00,53.5000,-3.5000,14.0107
1872-07-16T12:00:00+00:00,52.5000,-6.5000,15.0245
1872-07-16T12:00:00+00:00,52.5000,-5.5000,14.5527
1872-07-16T12:00:00+00:00,52.5000,-4.5000,14.5567
1872-07-16T12:00:00+00:00,51.5000,-6.5000,15.3272
1872-07-16T12:00:00+00:00,51.5000,-5.5000,15.1666
1872-07-16T12:00:00+00:00,51.5000,-4.5000,15.1686
1872-07-16T12:00:00+00:00,51.5000,-3.5000,15.4796
1872-08-16T12:00:00+00:00,53.5000,-5.5000,15.3022
1872-08-16T12:00:00+00:00,53.5000,-4.5000,15.3655
1872-08-16T12:00:00+00:00,53.5000,-3.5000,15.3487
1872-08-16T12:00:00+00:00,52.5000,-6.5000,16.0842
1872-08-16T12:00:00+00:00,52.5000,-5.5000,15.7402
1872-08-16T12:00:00+00:00,52.5000,-4.5000,15.7759
1872-08-16T12:00:00+00:00,51.5000,-6.5000,16.3454
1872-08-16T12:00:00+00:00,51.5000,-5.5000,16.2373
1872-08-16T12:00:00+00:00,51.5000,-4.5000,16.2828
1872-08-16T12:00:00+00:00,51.5000,-3.5000,16.6053
1872-09-16T00:00:00+00:00,53.5000,-5.5000,14.4326
1872-09-16T00:00:00+00:00,53.5000,-4.5000,14.5388
1872-09-16T00:00:00+00:00,53.5000,-3.5000,14.6332
1872-09-16T00:00:00+00:00,52.5000,-6.5000,14.8395
1872-09-16T00:00:00+00:00,52.5000,-5.5000,14.6987
1872-09-16T00:00:00+00:00,52.5000,-4.5000,14.7900
1872-09-16T00:00:00+00:00,51.5000,-6.5000,14.9907
1872-09-16T00:00:00+00:00,51.5000,-5.5000,14.9947
1872-09-16T00:00:00+00:00,51.5000,-4.5000,15.1472
1872-09-16T00:00:00+00:00,51.5000,-3.5000,15.5611
1872-10-16T12:00:00+00:00,53.5000,-5.5000,13.3723
1872-10-16T12:00:00+00:00,53.5000,-4.5000,13.4646
1872-10-16T12:00:00+00:00,53.5000,-3.5000,13.5566
1872-10-16T12:00:00+00:00,52.5000,-6.5000,13.5306
1872-10-16T12:00:00+00:00,52.5000,-5.5000,13.5326
1872-10-16T12:00:00+00:00,52.5000,-4.5000,13.6278
1872-10-16T12:00:00+00:00,51.5000,-6.5000,13.5849
1872-10-16T12:00:00+00:00,51.5000,-5.5000,13.6793
1872-10-16T12:00:00+00:00,51.5000,-4.5000,13.8626
1872-10-16T12:00:00+00:00,51.5000,-3.5000,14.2415
1872-11-16T00:00:00+00:00,53.5000,-5.5000,11.2301
1872-11-16T00:00:00+00:00,53.5000,-4.5000,11.2360
1872-11-16T00:00:00+00:00,53.5000,-3.5000,11.2660
1872-11-16T00:00:00+00:00,52.5000,-6.5000,11.4285
1872-11-16T00:00:00+00:00,52.5000,-5.5000,11.3713
1872-11-16T00:00:00+00:00,52.5000,-4.5000,11.3876
1872-11-16T00:00:00+00:00,51.5000,-6.5000,11.4894
1872-11-16T00:00:00+00:00,51.5000,-5.5000,11.5656
1872-11-16T00:00:00+00:00,51.5000,-4.5000,11.6655
1872-11-16T00:00:00+00:00,51.5000,-3.5000,11.9418
1872-12-16T12:00:00+00:00,53.5000,-5.5000,9.8382
1872-12-16T12:00:00+00:00,53.5000,-4.5000,9.7946
1872-12-16T12:00:00+00:00,53.5000,-3.5000,9.7421
1872-12-16T12:00:00+00:00,52.5000,-6.5000,10.2667
1872-12-16T12:00:00+00:00,52.5000,-5.5000,10.0691
1872-12-16T12:00:00+00:00,52.5000,-4.5000,10.0137
1872-12-16T12:00:00+00:00,51.5000,-6.5000,10.3849
1872-12-16T12:00:00+00:00,51.5000,-5.5000,10.3607
1872-12-16T12:00:00+00:00,51.5000,-4.5000,10.3565
1872-12-16T12:00:00+00:00,51.5000,-3.5000,10.5790
1873-01-16T12:00:00+00:00,53.5000,-5.5000,8.6840
1873-01-16T12:00:00+00:00,53.5000,-4.5000,8.6007
1873-01-16T12:00:00+00:00,53.5000,-3.5000,8.4676
1873-01-16T12:00:00+00:00,52.5000,-6.5000,9.3930
1873-01-16T12:00:00+00:00,52.5000,-5.5000,9.0368
1873-01-16T12:00:00+00:00,52.5000,-4.5000,8.8916
1873-01-16T12:00:00+00:00,51.5000,-6.5000,9.5694
1873-01-16T12:00:00+00:00,51.5000,-5.5000,9.4137
1873-01-16T12:00:00+00:00,51.5000,-4.5000,9.2574
1873-01-16T12:00:00+00:00,51.5000,-3.5000,9.3479
1873-02-15T00:00:00+00:00,53.5000,-5.5000,7.5599
1873-02-15T00:00:00+00:00,53.5000,-4.5000,7.4151
1873-02-15T00:00:00+00:00,53.5000,-3.5000,7.1345
1873-02-15T00:00:00+00:00,52.5000,-6.5000,8.4417
1873-02-15T00:00:00+00:00,52.5000,-5.5000,7.9985
1873-02-15T00:00:00+00:00,52.5000,-4.5000,7.8078
1873-02-15T00:00:00+00:00,51.5000,-6.5000,8.6725
1873-02-15T00:00:00+00:00,51.5000,-5.5000,8.4557
1873-02-15T00:00:00+00:00,51.5000,-4.5000,8.2361
1873-02-15T00:00:00+00:00,51.5000,-3.5000,8.2746
1873-03-16T12:00:00+00:00,53.5000,-5.5000,7.2296
