date,sst_c
2018-09-02 00:00:00+00:00,16.0172
2018-09-03 00:00:00+00:00,15.9974
2018-09-04 00:00:00+00:00,16.1574
2018-09-05 00:00:00+00:00,16.2022
2018-09-06 00:00:00+00:00,16.2384
2018-09-07 00:00:00+00:00,16.2439
2018-09-08 00:00:00+00:00,16.2305
2018-09-09 00:00:00+00:00,16.1792
2018-09-10 00:00:00+00:00,16.1076
2018-09-11 00:00:00+00:00,16.1035
2018-09-12 00:00:00+00:00,16.0997
2018-09-13 00:00:00+00:00,16.0634
2018-09-14 00:00:00+00:00,16.0300
2018-09-15 00:00:00+00:00,15.9935
2018-09-16 00:00:00+00:00,15.9845
2018-09-17 00:00:00+00:00,15.8362
2018-09-18 00:00:00+00:00,15.9140
2018-09-19 00:00:00+00:00,15.9438
2018-09-20 00:00:00+00:00,15.9290
2018-09-21 00:00:00+00:00,15.8213
2018-09-22 00:00:00+00:00,15.7292
2018-09-23 00:00:00+00:00,15.6665
2018-09-24 00:00:00+00:00,15.4782
2018-09-25 00:00:00+00:00,15.4047
2018-09-26 00:00:00+00:00,15.3463
2018-09-27 00:00:00+00:00,15.3590
2018-09-28 00:00:00+00:00,15.3194
2018-09-29 00:00:00+00:00,14.9821
2018-09-30 00:00:00+00:00,15.0918
2018-10-01 00:00:00+00:00,15.0230
2018-10-02 00:00:00+00:00,15.0441
2018-10-03 00:00:00+00:00,15.1053
2018-10-04 00:00:00+00:00,15.0652
2018-10-05 00:00:00+00:00,15.0469
2018-10-06 00:00:00+00:00,15.0449
2018-10-07 00:00:00+00:00,14.9188
2018-10-08 00:00:00+00:00,14.9169
2018-10-09 00:00:00+00:00,14.8795
2018-10-10 00:00:00+00:00,14.8561
2018-10-11 00:00:00+00:00,14.8361
2018-10-12 00:00:00+00:00,14.6944
2018-10-13 00:00:00+00:00,14.6928
2018-10-14 00:00:00+00:00,14.6892
2018-10-15 00:00:00+00:00,14.5895
2018-10-16 00:00:00+00:00,14.6602
2018-10-17 00:00:00+00:00,14.6181
2018-10-18 00:00:00+00:00,14.5031
2018-10-19 00:00:00+00:00,14.4629
2018-10-20 00:00:00+00:00,14.4531
2018-10-21 00:00:00+00:00,14.5064
2018-10-22 00:00:00+00:00,
2018-10-23 00:00:00+00:00,14.3670
2018-10-24 00:00:00+00:00,14.1778
2018-10-25 00:00:00+00:00,14.1697
2018-10-26 00:00:00+00:00,14.1724
2018-10-27 00:00:00+00:00,14.0160
2018-10-28 00:00:00+00:00,13.8520
2018-10-29 00:00:00+00:00,13.7198
2018-10-30 00:00:00+00:00,13.5936
2018-10-31 00:00:00+00:00,13.4779
2018-11-01 00:00:00+00:00,13.4469
2018-11-02 00:00:00+00:00,13.2653
2018-11-03 00:00:00+00:00,13.2599
2018-11-04 00:00:00+00:00,13.2838
2018-11-05 00:00:00+00:00,13.2826
2018-11-06 00:00:00+00:00,13.2838
2018-11-07 00:00:00+00:00,13.3114
2018-11-08 00:00:00+00:00,13.0829
2018-11-09 00:00:00+00:00,13.3099
2018-11-10 00:00:00+00:00,12.8972
2018-11-11 00:00:00+00:00,12.7946
2018-11-12 00:00:00+00:00,12.7577
2018-11-13 00:00:00+00:00,12.6574
2018-11-14 00:00:00+00:00,12.6563
2018-11-15 00:00:00+00:00,12.6946
2018-11-16 00:00:00+00:00,12.6908
2018-11-17 00:00:00+00:00,12.6622
2018-11-18 00:00:00+00:00,12.6178
2018-11-19 00:00:00+00:00,12.5529
2018-11-20 00:00:00+00:00,12.4689
2018-11-21 00:00:00+00:00,12.4186
2018-11-22 00:00:00+00:00,12.2945
2018-11-23 00:00:00+00:00,12.1809
2018-11-24 00:00:00+00:00,12.1749
2018-11-25 00:00:00+00:00,12.0871
2018-11-26 00:00:00+00:00,11.9957
2018-11-27 00:00:00+00:00,11.8850
2018-11-28 00:00:00+00:00,11.7980
2018-11-29 00:00:00+00:00,11.7830
2018-11-30 00:00:00+00:00,11.7298
2018-12-01 00:00:00+00:00,11.7334
2018-12-02 00:00:00+00:00,11.7105
2018-12-03 00:00:00+00:00,11.6506
2018-12-04 00:00:00+00:00,11.4846
2018-12-05 00:00:00+00:00,11.4836
2018-12-06 00:00:00+00:00,11.4031
2018-12-07 00:00:00+00:00,11.4060
2018-12-08 00:00:00+00:00,11.3514
2018-12-09 00:00:00+00:00,11.3337
2018-12-10 00:00:00+00:00,11.2868
2018-12-11 00:00:00+00:00,11.2792
2018-12-12 00:00:00+00:00,11.2831
2018-12-13 00:00:00+00:00,11.2911
2018-12-14 00:00:00+00:00,11.2493
2018-12-15 00:00:00+00:00,11.2260
2018-12-16 00:00:00+00:00,11.1192
2018-12-17 00:00:00+00:00,10.9004
2018-12-18 00:00:00+00:00,10.8989
2018-12-19 00:00:00+00:00,10.8763
2018-12-20 00:00:00+00:00,10.8339
2018-12-21 00:00:00+00:00,10.8449
2018-12-22 00:00:00+00:00,10.7209
2018-12-23 00:00:00+00:00,10.7421
2018-12-24 00:00:00+00:00,10.7241
2018-12-25 00:00:00+00:00,10.6746
2018-12-26 00:00:00+00:00,10.6699
2018-12-27 00:00:00+00:00,10.6656
2018-12-28 00:00:00+00:00,10.5926
2018-12-29 00:00:00+00:00,10.5840
2018-12-30 00:00:00+00:00,10.4911
2018-12-31 00:00:00+00:00,10.4225
2019-01-01 00:00:00+00:00,10.3019
2019-01-02 00:00:00+00:00,10.3817
2019-01-03 00:00:00+00:00,10.4069
2019-01-04 00:00:00+00:00,10.4025
2019-01-05 00:00:00+00:00,10.4162
2019-01-06 00:00:00+00:00,10.4089
2019-01-07 00:00:00+00:00,10.4046
2019-01-08 00:00:00+00:00,10.3547
2019-01-09 00:00:00+00:00,10.2118
2019-01-10 00:00:00+00:00,10.1362
2019-01-11 00:00:00+00:00,10.2140
2019-01-12 00:00:00+00:00,10.2064
2019-01-13 00:00:00+00:00,10.1922
2019-01-14 00:00:00+00:00,10.1277
2019-01-15 00:00:00+00:00,10.1339
2019-01-16 00:00:00+00:00,10.1293
2019-01-17 00:00:00+00:00,9.9413
2019-01-18 00:00:00+00:00,9.9371
2019-01-19 00:00:00+00:00,9.8868
2019-01-20 00:00:00+00:00,9.9282
2019-01-21 00:00:00+00:00,9.8943
2019-01-22 00:00:00+00:00,9.7597
2019-01-23 00:00:00+00:00,9.7215
2019-01-24 00:00:00+00:00,9.7189
2019-01-25 00:00:00+00:00,9.7128
2019-01-26 00:00:00+00:00,9.7192
2019-01-27 00:00:00+00:00,9.6863
2019-01-28 00:00:00+00:00,9.5709
2019-01-29 00:00:00+00:00,9.5595
2019-01-30 00:00:00+00:00,9.5547
2019-01-31 00:00:00+00:00,9.3848
2019-02-01 00:00:00+00:00,9.3803
