Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for Wales
Areal series, starting in 1836
Last updated 03-Aug-2026 09:28
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1859   97.0   83.1  150.8  121.0   33.0   62.2   95.4  134.5  184.0  138.2  144.2  155.2   315.5   304.9   292.2   466.4  1398.6
1860  157.7   56.7  125.9   64.5  104.0  209.8   71.2  241.2   93.5  148.5   90.7  132.1   369.6   294.4   522.2   332.7  1495.9
1861   52.7  125.0  119.4   29.4   42.3   94.6  164.6  129.7  137.9   85.3  189.2  103.8   309.8   191.0   389.0   412.4  1273.9
1862  123.2   32.5  129.5  120.8  106.1  111.3  127.9   98.3  112.7  194.3   60.5  137.7   259.5   356.4   337.5   367.5  1354.8
1863  151.8   54.4   50.2   53.7   56.0  113.4   45.0  144.6  180.8  209.3  141.5   79.4   343.9   159.9   303.0   531.6  1280.0
1864   93.7   67.9   95.6   45.4   54.7   87.3   46.3   69.2  151.8   88.0  140.9   85.7   240.9   195.8   202.7   380.6  1026.4
1865  131.3  103.5   69.9   36.4  135.0   47.9   90.4  167.1   16.7  172.6  155.5   97.0   320.4   241.2   305.3   344.8  1223.1
1866  204.6  149.2  110.3   47.9   43.0  120.2   54.0  130.6  255.9   72.2  136.9  132.9   450.8   201.3   304.8   465.0  1457.8
1867  176.9  103.5  103.5  146.7   92.0   27.0  118.4   62.2  101.1  186.2   41.3  108.8   413.3   342.1   207.6   328.5  1267.4
1868  153.7   95.5  128.3   76.2   63.8   15.4   35.3  126.9   96.1  138.3   99.0  297.1   358.0   268.3   177.5   333.5  1325.5
1869  196.2  165.5   63.3   77.3  116.1   28.6   39.9   62.1  235.2  108.7  135.5  170.9   658.7   256.7   130.6   479.3  1399.2
1870  110.8  111.5   82.9   40.9   70.9   31.2   52.9   73.2   84.8  272.8  152.5   82.2   393.2   194.7   157.2   510.1  1166.5
1871  114.1  104.6   73.5  121.3   28.7   72.3  163.9   79.4  143.9  177.9   50.3  108.1   300.8   223.6   315.6   372.0  1238.0
1872  237.0  163.7  134.4   85.5   71.0  159.4  143.0  101.9  180.9  230.6  252.2  226.8   508.8   290.9   404.3   663.7  1986.4
1873  214.5   53.5  109.6   35.7   73.7   59.4  113.1  150.2  100.8  136.8   86.0   56.4   494.8   219.1   322.7   323.6  1189.7
1874  154.1  108.0   96.7   69.0   42.6   38.6   72.9  179.4  149.7  168.6  137.8  149.3   318.5   208.3   290.9   456.1  1366.8
1875  196.7   69.4   50.1   63.3   81.8  108.5  144.0  120.6  153.6  188.3  189.6   80.2   415.4   195.2   373.1   531.4  1446.1
1876   79.5  162.6  124.4   99.2   17.6   60.1   74.9  135.6  174.1  159.3  151.5  240.8   322.3   241.2   270.6   484.9  1479.5
1877  226.9  140.4  104.7  101.9  105.8   83.8  149.3  186.6  105.6  163.4  234.4  120.6   608.1   312.5   419.7   503.4  1723.5
1878  109.4   74.5   64.6   75.2  153.5  105.8   51.9  186.7  108.7  182.5  132.8   95.5   304.4   293.2   344.5   423.9  1341.0
1879   76.2  144.1   69.1   63.8   84.1  185.4  154.2  235.1  139.9   60.8   30.8   83.7   315.8   217.0   574.7   231.6  1327.3
1880   31.9  130.9   73.7   72.1   63.9  106.3  198.0   42.8  105.2  159.4  167.6  196.4   246.6   209.6   347.1   432.1  1348.1
1881   36.0  154.5  113.8   48.1   96.5  107.7   79.9  167.5   62.1  103.2  185.9  144.7   386.9   258.4   355.1   351.2  1299.9
1882  138.7  119.2  102.0  142.5   66.9  140.1  178.2  145.2  101.7  176.0  212.6  176.2   402.7   311.5   463.5   490.2  1699.4
1883  182.4  168.9   57.6   36.7   61.7  114.2  106.1   77.6  180.3  156.2  176.5   91.5   527.5   156.0   297.9   513.1  1409.7
1884  185.6  163.2  122.7   53.6   70.1   55.3  124.0   66.3  102.4   82.1   92.2  183.0   440.2   246.3   245.6   276.7  1300.3
1885  115.4  175.7   68.5   88.6   83.1   77.8   49.8   85.3  184.7  189.6  149.4   59.1   474.0   240.2   212.9   523.8  1327.1
1886  162.0   48.0  153.3   78.4  156.9   48.6  128.7   65.3  145.0  211.8  149.6  195.9   269.1   388.7   242.6   506.4  1543.6
1887  111.7   42.2   65.9   49.0   65.4   24.2   75.5   79.1  120.7   94.8  111.8  121.8   349.8   180.3   178.8   327.3   962.1
1888   59.5   33.1  106.7   64.7   51.3   99.3  195.4  136.3   38.8   89.2  223.3  150.9   214.4   222.7   431.0   351.3  1248.4
1889   60.2   83.9   91.7  122.7   94.0   17.2   96.8  134.0   76.7  149.2   76.1  106.3   295.1   308.4   248.1   301.9  1109.0
1890  203.2   34.1   82.6   48.6   79.1   90.5   95.1  129.2   62.2   95.3  213.2   41.7   343.7   210.3   314.8   370.7  1174.8
1891  112.3    8.1   60.4   85.9  100.1   95.7   83.2  207.0  131.0  257.0  133.0  243.0   162.1   246.5   386.0   520.9  1516.8
1892   96.4   75.2   41.1   43.4   74.7   77.6   81.4  135.3  125.5  154.9  109.5   81.3   414.5   159.2   294.3   389.9  1096.1
1893   77.3  164.5   29.8   13.5   67.2   62.6   96.6   97.4   91.2  143.6   98.1  168.9   323.0   110.5   256.6   332.8  1110.6
