period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,smoothed_trend_c,reference_mean_c,lowest_published_c,highest_published_c,latest_c,latest_status,july_2026_value_c,source_last_updated
1954-08 to 1955-07,1954-08-01,1955-07-31,1955,8.463014,365,published-inputs,98,8.729883,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1955-08 to 1956-07,1955-08-01,1956-07-31,1956,8.615027,366,published-inputs,81,8.713550,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1956-08 to 1957-07,1956-08-01,1957-07-31,1957,9.293425,365,published-inputs,36,8.696228,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1957-08 to 1958-07,1957-08-01,1958-07-31,1958,8.457260,365,published-inputs,99,8.678317,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1958-08 to 1959-07,1958-08-01,1959-07-31,1959,9.267397,365,published-inputs,38,8.660285,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1959-08 to 1960-07,1959-08-01,1960-07-31,1960,9.545355,366,published-inputs,24,8.642657,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1960-08 to 1961-07,1960-08-01,1961-07-31,1961,8.867945,365,published-inputs,57,8.625989,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1961-08 to 1962-07,1961-08-01,1962-07-31,1962,8.142466,365,published-inputs,125,8.610829,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1962-08 to 1963-07,1962-08-01,1963-07-31,1963,7.303288,365,published-inputs,140,8.597679,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1963-08 to 1964-07,1963-08-01,1964-07-31,1964,8.502732,366,published-inputs,95,8.586947,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1964-08 to 1965-07,1964-08-01,1965-07-31,1965,8.236712,365,published-inputs,116,8.578910,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1965-08 to 1966-07,1965-08-01,1966-07-31,1966,8.423014,365,published-inputs,103,8.573685,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1966-08 to 1967-07,1966-08-01,1967-07-31,1967,8.742192,365,published-inputs,67,8.571221,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1967-08 to 1968-07,1967-08-01,1968-07-31,1968,8.292077,366,published-inputs,114,8.571308,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1968-08 to 1969-07,1968-08-01,1969-07-31,1969,8.443288,365,published-inputs,101,8.573606,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1969-08 to 1970-07,1969-08-01,1970-07-31,1970,8.562740,365,published-inputs,89,8.577694,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1970-08 to 1971-07,1970-08-01,1971-07-31,1971,8.871233,365,published-inputs,56,8.583120,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1971-08 to 1972-07,1971-08-01,1972-07-31,1972,8.704645,366,published-inputs,74,8.589466,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1972-08 to 1973-07,1972-08-01,1973-07-31,1973,8.599178,365,published-inputs,84,8.596397,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1973-08 to 1974-07,1973-08-01,1974-07-31,1974,8.864110,365,published-inputs,58,8.603706,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1974-08 to 1975-07,1974-08-01,1975-07-31,1975,8.738356,365,published-inputs,69,8.611341,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1975-08 to 1976-07,1975-08-01,1976-07-31,1976,9.187978,366,published-inputs,41,8.619407,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
1976-08 to 1977-07,1976-08-01,1977-07-31,1977,8.384110,365,published-inputs,108,8.628160,9.418356,7.003005,10.315068,10.626849,illustrative scenario,18.000000,01-Jul-2026 11:33
