period,start_date,end_date,end_year,mean_temperature_c,days,status,rank_warmest,temperature_anomaly_c
2000-08 to 2001-07,2000-08-01,2001-07-31,2001,9.006027,365,published-inputs,48,-0.412329
2001-08 to 2002-07,2001-08-01,2002-07-31,2002,9.604658,365,published-inputs,20,0.186302
2002-08 to 2003-07,2002-08-01,2003-07-31,2003,9.690685,365,published-inputs,16,0.272329
2003-08 to 2004-07,2003-08-01,2004-07-31,2004,9.453552,366,published-inputs,27,0.035196
2004-08 to 2005-07,2004-08-01,2005-07-31,2005,9.794795,365,published-inputs,11,0.376439
2005-08 to 2006-07,2005-08-01,2006-07-31,2006,9.597534,365,published-inputs,21,0.179178
2006-08 to 2007-07,2006-08-01,2007-07-31,2007,10.315068,365,published-inputs,2,0.896712
2007-08 to 2008-07,2007-08-01,2008-07-31,2008,9.593716,366,published-inputs,22,0.175360
2008-08 to 2009-07,2008-08-01,2009-07-31,2009,9.017260,365,published-inputs,47,-0.401096
2009-08 to 2010-07,2009-08-01,2010-07-31,2010,8.864110,365,published-inputs,58,-0.554246
2010-08 to 2011-07,2010-08-01,2011-07-31,2011,8.730411,365,published-inputs,72,-0.687945
2011-08 to 2012-07,2011-08-01,2012-07-31,2012,9.704645,366,published-inputs,15,0.286289
2012-08 to 2013-07,2012-08-01,2013-07-31,2013,8.519726,365,published-inputs,94,-0.898630
2013-08 to 2014-07,2013-08-01,2014-07-31,2014,10.107397,365,published-inputs,7,0.689041
2014-08 to 2015-07,2014-08-01,2015-07-31,2015,9.314247,365,published-inputs,35,-0.104109
2015-08 to 2016-07,2015-08-01,2016-07-31,2016,9.830055,366,published-inputs,10,0.411699
2016-08 to 2017-07,2016-08-01,2017-07-31,2017,10.020000,365,published-inputs,8,0.601644
2017-08 to 2018-07,2017-08-01,2018-07-31,2018,9.592603,365,published-inputs,23,0.174247
2018-08 to 2019-07,2018-08-01,2019-07-31,2019,9.794795,365,published-inputs,11,0.376439
2019-08 to 2020-07,2019-08-01,2020-07-31,2020,9.785792,366,published-inputs,13,0.367436
2020-08 to 2021-07,2020-08-01,2021-07-31,2021,9.361644,365,published-inputs,33,-0.056712
2021-08 to 2022-07,2021-08-01,2022-07-31,2022,10.273699,365,published-inputs,4,0.855343
2022-08 to 2023-07,2022-08-01,2023-07-31,2023,10.221096,365,published-inputs,5,0.802740
2023-08 to 2024-07,2023-08-01,2024-07-31,2024,10.293443,366,published-inputs,3,0.875087
2024-08 to 2025-07,2024-08-01,2025-07-31,2025,10.206301,365,published-inputs,6,0.787945
2025-08 to 2026-07,2025-08-01,2026-07-31,2026,10.626849,365,provisional-scenario,1,1.208493
