year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,win,spr,sum,aut,ann
1865,131.300000,103.500000,69.900000,36.400000,135.000000,47.900000,90.400000,167.100000,16.700000,172.600000,155.500000,97.000000,320.400000,241.200000,305.300000,344.800000,1223.100000
1866,204.600000,149.200000,110.300000,47.900000,43.000000,120.200000,54.000000,130.600000,255.900000,72.200000,136.900000,132.900000,450.800000,201.300000,304.800000,465.000000,1457.800000
1867,176.900000,103.500000,103.500000,146.700000,92.000000,27.000000,118.400000,62.200000,101.100000,186.200000,41.300000,108.800000,413.300000,342.100000,207.600000,328.500000,1267.400000
1868,153.700000,95.500000,128.300000,76.200000,63.800000,15.400000,35.300000,126.900000,96.100000,138.300000,99.000000,297.100000,358.000000,268.300000,177.500000,333.500000,1325.500000
1869,196.200000,165.500000,63.300000,77.300000,116.100000,28.600000,39.900000,62.100000,235.200000,108.700000,135.500000,170.900000,658.700000,256.700000,130.600000,479.300000,1399.200000
1870,110.800000,111.500000,82.900000,40.900000,70.900000,31.200000,52.900000,73.200000,84.800000,272.800000,152.500000,82.200000,393.200000,194.700000,157.200000,510.100000,1166.500000
1871,114.100000,104.600000,73.500000,121.300000,28.700000,72.300000,163.900000,79.400000,143.900000,177.900000,50.300000,108.100000,300.800000,223.600000,315.600000,372.000000,1238.000000
1872,237.000000,163.700000,134.400000,85.500000,71.000000,159.400000,143.000000,101.900000,180.900000,230.600000,252.200000,226.800000,508.800000,290.900000,404.300000,663.700000,1986.400000
1873,214.500000,53.500000,109.600000,35.700000,73.700000,59.400000,113.100000,150.200000,100.800000,136.800000,86.000000,56.400000,494.800000,219.100000,322.700000,323.600000,1189.700000
1874,154.100000,108.000000,96.700000,69.000000,42.600000,38.600000,72.900000,179.400000,149.700000,168.600000,137.800000,149.300000,318.500000,208.300000,290.900000,456.100000,1366.800000
1875,196.700000,69.400000,50.100000,63.300000,81.800000,108.500000,144.000000,120.600000,153.600000,188.300000,189.600000,80.200000,415.400000,195.200000,373.100000,531.400000,1446.100000
1876,79.500000,162.600000,124.400000,99.200000,17.600000,60.100000,74.900000,135.600000,174.100000,159.300000,151.500000,240.800000,322.300000,241.200000,270.600000,484.900000,1479.500000
1877,226.900000,140.400000,104.700000,101.900000,105.800000,83.800000,149.300000,186.600000,105.600000,163.400000,234.400000,120.600000,608.100000,312.500000,419.700000,503.400000,1723.500000
1878,109.400000,74.500000,64.600000,75.200000,153.500000,105.800000,51.900000,186.700000,108.700000,182.500000,132.800000,95.500000,304.400000,293.200000,344.500000,423.900000,1341.000000
1879,76.200000,144.100000,69.100000,63.800000,84.100000,185.400000,154.200000,235.100000,139.900000,60.800000,30.800000,83.700000,315.800000,217.000000,574.700000,231.600000,1327.300000
1880,31.900000,130.900000,73.700000,72.100000,63.900000,106.300000,198.000000,42.800000,105.200000,159.400000,167.600000,196.400000,246.600000,209.600000,347.100000,432.100000,1348.100000
1881,36.000000,154.500000,113.800000,48.100000,96.500000,107.700000,79.900000,167.500000,62.100000,103.200000,185.900000,144.700000,386.900000,258.400000,355.100000,351.200000,1299.900000
1882,138.700000,119.200000,102.000000,142.500000,66.900000,140.100000,178.200000,145.200000,101.700000,176.000000,212.600000,176.200000,402.700000,311.500000,463.500000,490.200000,1699.400000
1883,182.400000,168.900000,57.600000,36.700000,61.700000,114.200000,106.100000,77.600000,180.300000,156.200000,176.500000,91.500000,527.500000,156.000000,297.900000,513.100000,1409.700000
1884,185.600000,163.200000,122.700000,53.600000,70.100000,55.300000,124.000000,66.300000,102.400000,82.100000,92.200000,183.000000,440.200000,246.300000,245.600000,276.700000,1300.300000
1885,115.400000,175.700000,68.500000,88.600000,83.100000,77.800000,49.800000,85.300000,184.700000,189.600000,149.400000,59.100000,474.000000,240.200000,212.900000,523.800000,1327.100000
1886,162.000000,48.000000,153.300000,78.400000,156.900000,48.600000,128.700000,65.300000,145.000000,211.800000,149.600000,195.900000,269.100000,388.700000,242.600000,506.400000,1543.600000
1887,111.700000,42.200000,65.900000,49.000000,65.400000,24.200000,75.500000,79.100000,120.700000,94.800000,111.800000,121.800000,349.800000,180.300000,178.800000,327.300000,962.100000
1888,59.500000,33.100000,106.700000,64.700000,51.300000,99.300000,195.400000,136.300000,38.800000,89.200000,223.300000,150.900000,214.400000,222.700000,431.000000,351.300000,1248.400000
1889,60.200000,83.900000,91.700000,122.700000,94.000000,17.200000,96.800000,134.000000,76.700000,149.200000,76.100000,106.300000,295.100000,308.400000,248.100000,301.900000,1109.000000
1890,203.200000,34.100000,82.600000,48.600000,79.100000,90.500000,95.100000,129.200000,62.200000,95.300000,213.200000,41.700000,343.700000,210.300000,314.800000,370.700000,1174.800000
1891,112.300000,8.100000,60.400000,85.900000,100.100000,95.700000,83.200000,207.000000,131.000000,257.000000,133.000000,243.000000,162.100000,246.500000,386.000000,520.900000,1516.800000
1892,96.400000,75.200000,41.100000,43.400000,74.700000,77.600000,81.400000,135.300000,125.500000,154.900000,109.500000,81.300000,414.500000,159.200000,294.300000,389.900000,1096.100000
1893,77.300000,164.500000,29.800000,13.500000,67.200000,62.600000,96.600000,97.400000,91.200000,143.600000,98.100000,168.900000,323.000000,110.500000,256.600000,332.800000,1110.600000
1894,147.800000,141.200000,104.600000,65.300000,108.000000,70.300000,119.900000,124.700000,45.700000,175.400000,179.600000,127.900000,457.900000,277.900000,314.800000,400.700000,1410.300000
1895,134.400000,10.000000,129.600000,85.600000,18.600000,32.500000,146.400000,122.700000,38.500000,148.100000,179.900000,117.400000,272.300000,233.700000,301.600000,366.500000,1163.700000
1896,56.100000,37.600000,156.200000,39.000000,7.800000,66.000000,92.900000,89.200000,217.100000,163.100000,45.100000,207.200000,211.100000,203.000000,248.200000,425.200000,1177.200000
1897,63.600000,116.400000,165.400000,115.400000,47.200000,88.600000,60.700000,161.600000,144.700000,65.900000,134.800000,211.600000,387.200000,328.100000,310.900000,345.300000,1375.900000
1898,92.700000,97.000000,45.000000,83.800000,124.900000,80.600000,34.600000,153.100000,59.900000,182.000000,116.100000,171.200000,401.400000,253.600000,268.300000,358.000000,1240.800000
1899,226.300000,125.500000,62.000000,133.500000,90.500000,57.800000,62.300000,51.300000,105.600000,117.600000,108.200000,96.900000,523.100000,286.000000,171.400000,331.400000,1237.500000
1900,150.400000,156.700000,34.600000,60.900000,81.700000,95.100000,59.100000,165.500000,61.300000,179.100000,145.600000,201.900000,404.100000,177.200000,319.600000,386.100000,1391.900000
1901,101.500000,49.900000,122.000000,110.100000,32.800000,84.700000,68.800000,124.400000,84.500000,116.200000,103.500000,188.300000,353.200000,264.900000,277.900000,304.200000,1186.600000
1902,84.700000,48.600000,85.800000,65.000000,92.100000,88.200000,65.000000,96.500000,70.100000,126.400000,117.500000,128.800000,321.600000,242.900000,249.700000,313.900000,1068.600000
1903,179.300000,123.800000,215.900000,66.000000,96.700000,54.500000,105.900000,194.700000,161.200000,326.400000,112.600000,120.100000,431.900000,378.600000,355.100000,600.200000,1757.300000
1904,164.700000,154.500000,70.800000,88.000000,75.800000,55.200000,81.400000,118.300000,82.200000,73.800000,92.200000,123.600000,439.300000,234.600000,255.000000,248.200000,1180.500000
1905,65.900000,60.800000,172.600000,116.200000,29.900000,82.000000,64.200000,169.700000,69.200000,93.300000,141.500000,47.600000,250.300000,318.700000,315.900000,303.900000,1112.900000
1906,205.100000,120.600000,105.100000,39.900000,120.500000,67.100000,40.800000,134.400000,38.700000,212.400000,116.700000,125.300000,373.200000,265.500000,242.300000,367.800000,1326.600000
1907,77.300000,70.200000,67.600000,95.000000,96.000000,147.300000,92.900000,128.900000,28.500000,226.300000,106.800000,155.300000,272.800000,258.600000,369.100000,361.600000,1292.000000
1908,101.000000,92.000000,133.200000,83.400000,91.300000,60.100000,130.900000,146.000000,115.600000,71.500000,104.000000,141.100000,348.200000,307.800000,337.000000,291.100000,1270.000000
1909,78.400000,32.600000,120.500000,110.300000,48.500000,75.200000,115.600000,69.700000,115.100000,229.900000,64.000000,208.300000,252.100000,279.300000,260.500000,409.000000,1268.200000
1910,141.500000,169.000000,52.800000,107.100000,72.100000,128.200000,119.600000,183.500000,14.700000,123.100000,178.500000,224.300000,518.800000,232.100000,431.300000,316.300000,1514.500000
1911,53.500000,111.000000,71.200000,78.600000,54.900000,97.000000,22.600000,113.600000,107.100000,124.700000,185.000000,266.900000,388.800000,204.700000,233.100000,416.900000,1286.000000
1912,128.300000,95.000000,212.900000,14.900000,49.000000,157.900000,128.200000,248.100000,31.700000,159.200000,127.200000,191.000000,490.200000,276.900000,534.200000,318.100000,1543.500000
1913,182.300000,68.600000,189.200000,171.600000,94.100000,87.400000,35.300000,66.100000,109.700000,142.600000,177.400000,87.100000,441.900000,454.900000,188.800000,429.700000,1411.400000
1914,96.900000,157.500000,178.200000,44.900000,77.300000,63.700000,144.400000,111.500000,73.400000,69.700000,158.400000,262.500000,341.400000,300.400000,319.600000,301.500000,1438.300000
1915,152.000000,204.800000,43.600000,63.200000,76.100000,47.900000,138.000000,94.400000,42.900000,97.400000,108.100000,271.700000,619.300000,182.900000,280.400000,248.400000,1340.200000
1916,109.300000,167.100000,81.500000,86.300000,107.700000,79.500000,59.300000,97.100000,96.300000,261.900000,132.100000,99.000000,548.100000,275.500000,235.800000,490.300000,1376.900000
